질문,답변,출처(날짜)
연료의 단위가 다른 경우에는 어떻게 처리하나요?,"연료의 단위가 다른 경우에는, CBAM 제도에 따라 활동 데이터의 단위를 일관되게 관리하는 것이 중요합니다. 일반적으로 연료의 활동 자료는 부피(㎥)나 중량(t) 단위로 관리됩니다. 

만약 연료의 활동 자료가 열량 단위로 관리될 경우, 이를 부피나 중량 단위로 변환하여 일관되게 사용할 수 있도록 해야 합니다. 이는 CBAM의 공식 가이드라인에 따라 활동 데이터의 단위를 통일하기 위한 권고사항입니다.

우리 플랫폼에서는 이러한 단위 변환을 자동화하여, 사용자가 입력한 데이터를 CBAM에서 요구하는 단위에 맞춰 처리할 수 있도록 구현되어 있습니다. 따라서, 연료의 단위가 다른 경우에도 플랫폼에서 자동으로 적절한 변환을 수행하여 사용자가 쉽게 데이터를 관리할 수 있도록 지원합니다. 

이와 관련된 구체적인 구현 방식은 ""플랫폼 반영 사항 정리 문서""에 자세히 설명되어 있습니다. 필요 시 해당 문서를 참고하여 플랫폼에서의 구체적인 처리 방식을 확인할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 사용량은 어떻게 입력하나요? 계약전력도 필요하나요?,"전력 사용량 입력과 관련된 질문에 대해 답변드리겠습니다.

**전력 사용량 입력**에 대해서는, 플랫폼 반영 사항 정리 문서를 참고하면, 전력량 모니터링은 유효 전력을 기준으로 해야 하며, 피상 전력이 아닌 실제로 소비된 유효 전력만을 모니터링해야 합니다. 각 생산공정별로 전력량계의 계측값을 기준으로 전력 사용량을 입력하면 됩니다. 만약 여러 전력원을 사용하는 경우에는 각 전력원의 사용량을 기준으로 배출계수를 가중 평균하여 적용해야 합니다.

**계약전력**에 대해서는, 전력 사용량 입력 시 반드시 필요한 정보는 아닙니다. 다만, 전력 구매 계약(PPA) 문서와 재생에너지 사용 확인서를 통해 재생에너지 사용 증빙을 할 수 있으며, 이는 필요에 따라 참고할 수 있는 문서입니다.

따라서 전력 사용량은 각 생산공정의 유효 전력 사용량을 기준으로 입력하면 되며, 계약전력 자체는 입력하지 않아도 됩니다. 계약 관련 문서는 재생에너지 사용 증빙 시에 참고할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
전력 배출계수는 자동으로 입력되나요?,"전력 배출계수는 자동으로 입력되지 않습니다. 플랫폼에서는 사용자가 4가지 기본값 중에서 해당되는 항목을 선택하여 입력해야 합니다. 이 기본값들은 다음과 같습니다:

1. 특정 기본값에 따른 CO2 배출계수
2. 대체 기본값을 기반으로 한 CO2 배출 계수
3. 수입자가 입증한 신뢰할 수 있는 데이터에 기초한 CO2 배출계수
4. 시설군의 실제 CO2 배출량을 기준으로 한 CO2 배출 계수

사용자는 이 중 적합한 항목을 선택하여 전력 배출계수를 입력해야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"동일한 공정에서 여러 제품을 생산할 경우, 어떻게 나눠서 입력하나요?","동일한 공정에서 여러 제품을 생산할 경우, 플랫폼에서는 공정별로 투입량을 직접 입력하도록 구현되어 있어 별도의 할당 과정을 생략할 수 있습니다. 이는 공정 단위로 데이터를 직접 입력함으로써 자동으로 분배되어 처리될 수 있도록 설계된 것입니다. 즉, 사용자는 각 공정에 대한 투입량을 입력하면 플랫폼이 알아서 데이터를 각 제품에 맞게 분배하게 됩니다. 따라서, 사용자는 별도로 나눠서 입력할 필요가 없습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
간접배출량은 사용자가 계산해서 입력해야 하나요?,"간접배출량에 대한 사용자의 입력 여부는 플랫폼 구현 방식에 따라 다를 수 있습니다. 

- **플랫폼 반영 사항 정리 문서**에 따르면, 사용자가 간접배출량을 직접 입력해야 하는지 여부는 해당 플랫폼의 구현 방식에 따라 다를 수 있습니다. 플랫폼이 자동으로 간접배출량을 계산해주는 기능이 있을 수도 있고, 사용자가 직접 데이터를 입력해야 할 수도 있습니다. 

- **EU 탄소국경제도 전환기간 이행 가이드라인**이나 **알기쉽게 풀어쓴 CBAM 해설서**에서는 일반적으로 간접배출량의 계산 방법론에 대해 설명하고 있으며, 이는 사용자가 직접 계산하여 입력해야 하는 경우도 포함될 수 있습니다.

따라서, 플랫폼에서 간접배출량을 어떻게 처리하는지는 플랫폼의 기능에 따라 다를 수 있으며, 이를 확인하려면 플랫폼 반영 사항 정리 문서를 참조하는 것이 가장 정확합니다. 만약 문서에 이에 대한 구체적인 정보가 없다면, ""문서에서 해당 정보를 찾을 수 없습니다.""라고 안내드릴 수밖에 없습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"산화계수는 자동 계산되나요, 아니면 입력값이 필요한가요?","질문에 대한 답변을 위해, 플랫폼 반영 사항 정리 문서를 참고하겠습니다. 

산화계수는 일반적으로 입력값이 필요한 항목으로 보입니다. 문서에서 산화계수에 대한 직접적인 자동 계산 기능에 대한 언급은 없으며, 보수적인 값인 '1'을 적용할 수 있다고 안내하고 있습니다. 따라서 산화계수는 사용자가 직접 입력해야 할 가능성이 높습니다. 

만약 플랫폼에서 자동 계산 기능이 구현되어 있다면, 플랫폼 반영 사항 정리 문서에 명시되어 있을 것입니다. 하지만 현재 문서에서는 그런 내용이 확인되지 않으므로, 입력값이 필요하다고 판단됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
제품당 수출량은 어떤 단위로 입력하나요?,"제품당 수출량의 단위는 일반적으로 질량 단위로 입력됩니다. EU CBAM 가이드라인에서는 활동 데이터의 단위를 ton, m³, kWh, MWh, TJ 등으로 제시하고 있습니다. 따라서 수출량을 입력할 때는 이러한 단위 중 적절한 것을 사용하여 입력하면 됩니다. 플랫폼에서 구체적으로 어떤 단위를 사용하는지는 플랫폼 반영 사항 정리 문서를 참고해야 합니다. 문서에서 해당 정보를 찾을 수 없을 경우, 플랫폼의 사용자 지침이나 지원팀에 문의하는 것이 좋습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품에서 각 구성 원료의 입력은 개별로 입력해야 하나요?,"복합제품의 경우 각 구성 원료의 입력은 개별로 입력해야 합니다. 플랫폼 반영 사항 정리 문서에 따르면, 공정별 투입량을 직접 입력하도록 구현되어 있어, 별도의 할당 과정을 생략하고 공정 단위로 직접 데이터를 입력함으로써 자동으로 분배되어 처리할 수 있습니다. 따라서 복합제품의 각 구성 원료는 개별적으로 입력해야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
직접배출량은 어떤 방식으로 계산되나요?,"직접배출량의 계산 방식에 대해 설명드리겠습니다.

**제도 전반에 대한 개념**으로는, 직접배출량은 사업장에서 직접적으로 발생하는 온실가스 배출량을 의미합니다. 이는 주로 연료의 연소 과정이나 화학 반응 등에서 발생하는 배출량을 포함합니다. 

**가이드라인이나 해설서**에 따르면, 직접배출량은 일반적으로 두 가지 방법으로 산정할 수 있습니다:
1. **계산기반 방법론**: 연료 사용량과 배출계수를 기반으로 배출량을 계산하는 방식입니다. 예를 들어, 연소 과정에서 사용된 연료의 양과 그 연료의 배출계수를 곱하여 직접배출량을 산정합니다.
2. **측정기반 방법론**: 실제 배출되는 가스를 직접 측정하여 배출량을 산정하는 방식입니다. 이 방법은 주로 배출량이 크거나 복잡한 공정에서 사용됩니다.

**우리 플랫폼에서의 구현 방식**으로는, 플랫폼 반영 사항 정리 문서에 따라 직접배출량은 주로 계산기반 방법론을 사용하여 산정됩니다. 연료의 사용량과 배출계수를 적용하여 배출량을 계산하며, 특정한 경우에는 측정기반 방법론을 활용할 수도 있습니다. 

따라서, 직접배출량은 연료 사용량과 배출계수를 활용한 계산기반 방식으로 주로 산정되며, 필요에 따라 측정기반 방식도 병행하여 사용할 수 있습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
간접배출량은 어떤 기준으로 계산되나요?,"간접배출량의 계산은 일반적으로 두 가지 방법으로 이루어질 수 있습니다: 계산 방법과 측정 방법입니다. 이 두 방법은 각각의 상황에 따라 적절하게 선택되어 사용됩니다.

1. **계산 방법**: 간접배출량을 계산할 때는 주로 에너지 소비량과 배출 계수를 활용합니다. 예를 들어, 전력 소비량에 해당 전력의 배출 계수를 곱하여 간접배출량을 산정합니다. 이 방법은 데이터가 충분히 확보된 경우에 유용하며, 비교적 간단하게 적용할 수 있습니다.

2. **측정 방법**: 직접적인 측정 장비를 사용하여 배출량을 측정하는 방법입니다. 이 방법은 보다 정확한 데이터를 제공할 수 있지만, 비용이 많이 들고 적용이 어려운 경우도 있습니다.

또한, 플랫폼 반영 사항 정리 문서에 따르면, 우리 플랫폼에서는 특정 산정 방법론을 적용하여 간접배출량을 계산하고 있으며, 이 방법론은 기존의 산정 방법론과 동일하게 적용된다고 설명되어 있습니다. 따라서, 플랫폼에서의 간접배출량 계산은 일반적인 계산 방법과 유사하게 이루어지며, 필요에 따라 플랫폼에 특화된 조정이 있을 수 있습니다.

문서에서 간접배출량의 구체적인 계산 기준이나 방법론이 추가로 명시되어 있지 않다면, 일반적인 방법론을 참고하여 이해하시면 됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
복합제품은 어떤 방식으로 계산되나요?,"복합제품의 배출량 산정 방식에 대해 설명드리겠습니다.

**개념 설명:**
복합제품의 경우, 제품의 생산 공정에서 발생한 온실가스 배출량뿐만 아니라 공정에 투입되는 전구물질의 제품당 배출량까지 포함하여 산정해야 합니다. 이는 단순제품과의 주요 차이점으로, 복합제품은 더 복잡한 산정 방식을 필요로 합니다.

**플랫폼 구현 방식:**
우리 플랫폼에서는 복합제품을 선택할 경우, 자동으로 기본값을 적용하여 계산합니다. 이는 사용자가 복잡한 배출량 산정 없이 자동화된 기본값을 통해 편리하게 입력할 수 있도록 설계되었습니다.

따라서 복합제품의 배출량은 플랫폼에서 자동화된 방식으로 계산되며, 사용자는 별도의 복잡한 계산을 수행할 필요가 없습니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
전구물질은 어떻게 계산되나요?,"전구물질의 배출량 산정 방법에 대해 설명드리겠습니다.

**제도 전반 개념**: 전구물질의 고유내재배출량은 제품의 고유내재배출량과 동일한 방법으로 산정됩니다. 전구물질은 생산공정에 투입되는 물질로, 복합 제품의 고유내재배출량을 산정하기 위해 전구물질의 배출량을 결정해야 합니다. 만약 여러 시설에서 동일한 전구물질을 가져오는 경우, 시설별로 각각 계산해야 하며, 필요한 정보가 불완전할 경우 EU 집행위가 제공하는 기본값을 사용할 수 있습니다.

**우리 플랫폼 구현 방식**: 플랫폼에서는 복합제품 선택 시 자동으로 기본값을 적용하여 전구물질의 배출량을 계산합니다. 이는 사용자가 복잡한 배출량 산정 과정을 거치지 않고도 자동화된 기본값을 적용할 수 있도록 하여 편리하게 입력할 수 있게끔 설계되었습니다.

따라서, 플랫폼에서는 사용자가 복합제품을 선택하면 자동으로 기본값이 적용되어 전구물질의 배출량이 계산됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
"세금(전력세, 에너지세 등)은 계산에 포함되나요?","세금(전력세, 에너지세 등)은 플랫폼에서 계산에 포함됩니다. 플랫폼은 내재배출량 산정 시 사용한 전기값과 연동하여 기후환경요금을 자동으로 계산하도록 설계되었습니다. 또한, 교통·에너지·환경세와 개별소비세 역시 제품별 내재배출량 산정 시 자동으로 계산되도록 구현되어 있습니다. 따라서 플랫폼에서는 이러한 세금들이 자동으로 반영되어 계산됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17"
인증서 단가는 어떤 기준으로 계산되나요?,"인증서 단가는 CBAM 규정에 따라 매주 경매 플랫폼상의 EU-ETS 배출권 종가의 평균가격을 기준으로 산정됩니다. 경매 플랫폼에서 예정된 경매가 없는 주의 경우에는 경매가 실시된 마지막 주의 EU-ETS 배출권 종가의 평균가격을 사용합니다.

우리 플랫폼에서는 이러한 기준을 반영하여, 해당 경매 플랫폼에서 제공하는 엑셀 파일을 이용해 매주 경매 종가의 평균을 계산하여 CBAM 인증서 가격을 산정하고 있습니다. 추후에는 API 연동을 통해 자동으로 시스템에 종가 평균이 반영되도록 설계할 예정입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17, 23.08.17"
수출량을 입력하지 않으면 인증서 예상 비용은 어떻게 계산되나요?,"수출량을 입력하지 않으면 인증서 예상 비용을 정확히 계산할 수 없습니다. CBAM 인증서의 예상 비용은 수출기업의 제품당 배출량, EU ETS 무상할당량, 총 제품 수입량, 그리고 EU ETS 배출권 경매 종가의 주당 평균가 등을 기반으로 계산됩니다. 따라서 수출량이 입력되지 않으면 이 계산의 중요한 요소가 빠지게 되어 예상 비용을 산정할 수 없습니다. 

플랫폼 구현 방식에 따르면, 모든 요소를 시스템이 자동으로 계산하도록 설계되어 있기 때문에 수출량이 누락되면 플랫폼에서도 예상 비용을 산출할 수 없을 것입니다. 따라서 정확한 인증서 예상 비용을 얻기 위해서는 수출량을 반드시 입력해야 합니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17"
보고서에 포함되는 항목은 무엇인가요?,"보고서에 포함되는 항목은 다음과 같습니다:

1. **일반 정보**:
   - 보고서 발행일자, 보고서 초안 ID, 보고서 ID, 보고기간 및 연도
   - 보고 신고인(이름/주소), 세관대리인(이름/주소), 수입업자(이름/주소)
   - 관할당국, 서명

2. **수입품 정보**:
   - 수입된 CBAM 상품, 상품 품목번호, 상품코드(HS 6단위 코드/CN 코드)
   - 상품세부사항, 원산지, 통관 절차별 수입량, 절차(통관) 역내가공 정보
   - 수입지역, 상품 측정값(통관 절차/역내가공), 상품측정값(수입상품)
   - 생산국, 사업장의 상세 정보

3. **배출량 정보**:
   - 수입품 총량 및 총 배출량
   - 직접 내재 배출량, 간접 배출량, 총 내재배출량
   - 수입상품의 내재 배출량에 대해 원산지 국가에서 지불해야 하는 탄소가격

4. **기타 정보**:
   - 보고서 제출에 대한 승인과정
   - 등록부에 업로드 될 수 있는 제품에 대한 증빙자료 및 추가 정보 (해당 시)
   - 비고 및 첨부자료

이 정보들은 CBAM 보고서의 구조에 따라 체계적으로 정리되어야 하며, 이행규정 부속서 I에 명시된 내용을 기반으로 작성됩니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"배출계수, 산화계수도 보고서에 표시되나요?","질문에 대한 답변은 다음과 같습니다:

배출계수와 산화계수는 보고서에 표시됩니다. 배출계수는 제품이나 연료의 배출 강도를 나타내며, 산화계수는 연료에 포함된 총 탄소에 대한 연소 과정에서의 산화 비율을 나타냅니다. 이러한 값들은 배출량 산정에 중요한 요소로, 보고서에서 명시되어야 합니다.

만약 이 내용이 '우리 플랫폼에서 어떻게 되나요?'라는 질문이라면, 플랫폼 반영 사항 정리 문서를 참고하여 구체적으로 어떻게 구현되었는지를 설명드릴 수 있습니다. 하지만 현재 제공된 데이터로는 일반적인 개념 설명만 가능합니다. 

추가적인 질문이 있다면 언제든지 말씀해 주세요!","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
이 보고서를 EU에 그대로 제출해도 되나요?,"보고서를 EU에 제출할 때는 몇 가지 사항을 확인해야 합니다. CBAM 보고서는 CBAM 전환 등록부의 사용자 인터페이스에 직접 입력하거나 XML 형식으로 업로드하여 제출할 수 있습니다. 보고서는 24개의 모든 EU 언어로 작성할 수 있으며, 반드시 영어로 작성해야 하는 것은 아닙니다. 

또한, 보고서를 제출한 후에도 시정이 가능하며, 첫 두 번의 분기별 보고서에 대해서는 세 번째 분기 보고서 제출 마감일까지 시정할 수 있도록 기간 연장이 허용됩니다. 따라서 보고서를 제출하기 전에 이러한 제출 방식과 시정 가능 기간을 잘 확인하시기 바랍니다. 

만약 플랫폼에서 보고서를 작성하고 제출하는 방법에 대한 구체적인 구현 방식이 궁금하시다면, 플랫폼 반영 사항 정리 문서를 참고하시기 바랍니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17"
"인증서 단가는 고정인가요, 변동되나요?","인증서 단가는 변동됩니다. CBAM 규정에 따르면, CBAM 인증서 가격은 매주 EU-ETS 배출권 경매 플랫폼상의 종가의 평균가격을 기준으로 산정됩니다. 따라서, 주마다 경매 종가에 따라 인증서 가격이 변동될 수 있습니다. 현재 플랫폼에서는 해당 경매 플랫폼에서 제공하는 엑셀 파일의 EU-ETS 배출권 종가를 기반으로 매주 평균을 계산하여 CBAM 인증서 가격을 산정하고 있으며, 추후에는 API 연동을 통해 자동으로 시스템에 종가 평균이 반영되도록 설계할 예정입니다.","2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 2023.08.17, 23.08.17, 23.08.17"
